_id,id,name,address,latitude,longitude,about,phone,website,image,longtitude
651cde50b272bc98335e6512,blindsalamander,Blind Salamander,"301 N LBJ Drive, Suite 111 San Marcos, TX 78666",29.884609,-97.940681,"Blind Salamander Cantina is a colorful and lively margarita and taco joint located in Downtown San Marcos. Margaritas frozen or on the rocks, crispy or soft tacos, breakfast tacos, and of course, just about anything you want smothered in queso - Blind Salamander Cantina is a great place to relax after an afternoon spent exploring Downtown San Marcos.",5122148081,https://www.blindsalamandercantina.com,https://i.imgur.com/ztu9dtt.jpg,
651cded4f721dadd5abf2237,catsbilliards,Cats Billiards,"143 S. LBJ Dr San Marcos, TX 78666",29.88141,-97.93956,"Eight-foot pool tables and free pool with purchase. Juke box, cold beer and good friends.",5123960888,,https://i.imgur.com/2rrECxp.jpg,
651cdf10f721dadd5abf2238,chancesr,Chances R,"138 S. LBJ Dr San Marcos, TX 78666",29.88149,-97.94025,"Your favorite drink in a pleasant atmosphere. Pool, shuffleboard, digital jukebox and some of the best cocktails in San Marcos.",5123921727,https://www.chancesrbarsm.com,https://i.imgur.com/6EIGn97.jpg,
651cdf34f721dadd5abf2239,cheathamstreet,Cheatham Street Warehouse,"119 Cheatham Street San Marcos, TX 78666",29.87678,-97.93979,"There are very few music venues that have as much musical reverence and historical charm as Cheatham Street Warehouse. The place where George Strait, Randy Rogers, Stevie Ray Vaughan, Shelley King, John Arthur Martinez, Todd Snider, Slaid Cleaves, Terri Hendrix and many more honed their skills – Cheatham Street Warehouse is a music-lovers paradise. ",5123533777,https://cheathamstreet.com,https://i.imgur.com/ALCrPUA.jpg,
651cdf51f721dadd5abf223a,chimys,Chimy's Cerveceria,"217 E. Hopkins St. San Marcos, TX 78666",29.88354,-97.93942,"Head on over to Chimy's for a margarita the size of your head and a giant platter of nachos. Or a burger, or tacos, or maybe a chimychanga - whatever is calling your name... Monday-Saturday 11am-12am.",5122166175,http://chimys.com,https://i.imgur.com/n6sUziw.jpg,
651cdf61f721dadd5abf223b,codys,Cody's Restaurant Bar & Patio,"690 Centerpoint Road #209 San Marcos, TX 78666",29.82858,-97.98707,"Cody's provides a relaxing and cozy atmosphere, great music and a fresh full menu with specialty drinks, wine and beer. Relax on the patio and watch the hill country sunset. Monday – Wednesday: 11am – 11pm Thursday – Saturday: 11am to 12am Full lunch and dinner menu available until 10:00 pm",5123932867,https://www.codyssmtx.com/,https://i.imgur.com/9yUHeXv.jpg,
651cdf6ef721dadd5abf223c,crafthouse,Crafthouse Kitchen And Tap,"242 N LBJ Dr, Suite 103 San Marcos, TX 78666",29.88426,-97.94011,"Looking for good food, excellent drinks, a great atmosphere and conveniently located in the heart of Downtown San Marcos? Crafthouse is just the spot!",5126676700,https://www.crafthousetx.com,https://i.imgur.com/EvR9bnt.png,
651cdf78f721dadd5abf223d,davenport,The Davenport,"194 S Guadalupe St San Marcos, TX 78666",29.88033,-97.94129,"Live music, delicious food, innovative and creative libations and lots of atmospheric outdoor seating - you're always in for a good time at The Davenport!",,https://www.thedavenportlounge.com,https://i.imgur.com/sAQ9AzN.jpg,
651cdf84f721dadd5abf223e,evo,Evo Entertainment At Springtown Center,"1180 Thorpe Lane San Marcos, TX 78666",29.88784,-97.92331,"A true social hub & entertainment destination, EVO features a six-screen dine-in cinema with all luxury recliner seating and food and drink service right to your seat, eight lanes of boutique bowling, a full-service restaurant, arcade and board games, as well as an innovative craft cocktail bar.",5122108600,https://www.evocinemas.com/sanmarcos,https://i.imgur.com/mf9Yl5N.jpg,
651cdf95f721dadd5abf223f,blackrabbit,Black Rabbit Saloon,"127 E. Hopkins St. San Marcos, TX 78666",29.88338,-97.9408,"The latest and greatest addition to the San Marcos nightlife scene! Enjoy cold beer on draft, a great selection of bottled beer, or partake in one of our specialty cocktails. Offering San Marcos' only 'big kids' game room, you can roll Skeeball, throw darts, play pool, or be challenged at any of our numerous video games! Come drink, come play. ",8666206667,https://www.facebook.com/BlackRabbitSaloon/,https://i.imgur.com/nBimlAT.jpg,
